"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1",54873,55111,239,"*","Promoter (1-2kb)",1,56624,56740,117,1,"AT1G01115","AT1G01115.1",-1513
"1",58608,58655,48,"*","Promoter (<=1kb)",1,57269,59167,1899,2,"AT1G01120","AT1G01120.1",512
"1",66235,66284,50,"*","Promoter (1-2kb)",1,64166,67625,3460,2,"AT1G01140","AT1G01140.1",1341
"1",66418,66493,76,"*","Promoter (1-2kb)",1,64166,67625,3460,2,"AT1G01140","AT1G01140.1",1132
"1",66660,66830,171,"*","Promoter (<=1kb)",1,64166,67625,3460,2,"AT1G01140","AT1G01140.1",795
"1",67183,67442,260,"*","Promoter (<=1kb)",1,64166,67625,3460,2,"AT1G01140","AT1G01140.1",183
"1",128442,128748,307,"*","Promoter (1-2kb)",1,121124,130570,9447,2,"AT1G01320","AT1G01320.1",1822
"1",167284,167309,26,"*","Promoter (<=1kb)",1,166589,167842,1254,2,"AT1G01453","AT1G01453.1",533
"1",210702,210743,42,"*","Promoter (1-2kb)",1,209395,213041,3647,1,"AT1G01580","AT1G01580.1",1307
"1",269019,269124,106,"*","Promoter (<=1kb)",1,268330,269819,1490,1,"AT1G01720","AT1G01720.1",689
"1",269541,269620,80,"*","Promoter (1-2kb)",1,269792,270775,984,2,"AT1G01725","AT1G01725.1",1155
"1",269717,269777,61,"*","Promoter (<=1kb)",1,269792,270775,984,2,"AT1G01725","AT1G01725.1",998
"1",365252,365726,475,"*","Promoter (<=1kb)",1,365567,367340,1774,1,"AT1G02065","AT1G02065.2",0
"1",553635,554037,403,"*","Promoter (<=1kb)",1,552138,552761,624,2,"AT1G02590","AT1G02590.1",-874
"1",772475,772631,157,"*","Promoter (<=1kb)",1,773411,775344,1934,1,"AT1G03180","AT1G03180.1",-780
"1",813154,813255,102,"*","Promoter (<=1kb)",1,811033,813086,2054,2,"AT1G03300","AT1G03300.1",-68
"1",1215596,1215831,236,"*","Promoter (<=1kb)",1,1216095,1217467,1373,1,"AT1G04480","AT1G04480.1",-264
"1",1236517,1236591,75,"*","Promoter (<=1kb)",1,1234176,1236034,1859,2,"AT1G04530","AT1G04530.1",-483
"1",1312997,1313043,47,"*","Promoter (<=1kb)",1,1313564,1315750,2187,1,"AT1G04690","AT1G04690.1",-521
"1",1469069,1469529,461,"*","Promoter (<=1kb)",1,1469610,1470881,1272,1,"AT1G05100","AT1G05100.1",-81
"1",1570546,1570598,53,"*","Promoter (1-2kb)",1,1569192,1572280,3089,2,"AT1G05370","AT1G05370.1",1682
"1",1667608,1667614,7,"*","Promoter (1-2kb)",1,1665464,1668902,3439,2,"AT1G05580","AT1G05580.1",1288
"1",1714001,1714194,194,"*","Promoter (<=1kb)",1,1714950,1717270,2321,1,"AT1G05710","AT1G05710.2",-756
"1",1845397,1845533,137,"*","Promoter (1-2kb)",1,1843568,1846302,2735,1,"AT1G06080","AT1G06080.1",1829
"1",1999318,1999431,114,"*","Distal Intergenic",1,2001594,2002596,1003,1,"AT1G06530","AT1G06530.1",-2163
"1",2077036,2077203,168,"*","Promoter (<=1kb)",1,2076504,2077698,1195,2,"AT1G06760","AT1G06760.1",495
"1",2164060,2164133,74,"*","Promoter (<=1kb)",1,2160938,2163308,2371,2,"AT1G07040","AT1G07040.1",-752
"1",2176345,2176535,191,"*","Promoter (1-2kb)",1,2177885,2177958,74,1,"AT1G07100","AT1G07100.1",-1350
"1",2190048,2190128,81,"*","Promoter (<=1kb)",1,2189928,2190659,732,2,"AT1G07135","AT1G07135.1",531
"1",2190216,2190364,149,"*","Promoter (<=1kb)",1,2189928,2190659,732,2,"AT1G07135","AT1G07135.1",295
"1",2197412,2197572,161,"*","Promoter (1-2kb)",1,2193941,2195798,1858,2,"AT1G07150","AT1G07150.2",-1614
"1",2201504,2201671,168,"*","Promoter (<=1kb)",1,2202330,2202774,445,1,"AT1G07175","AT1G07175.1",-659
"1",2365843,2365932,90,"*","Promoter (<=1kb)",1,2359673,2366447,6775,2,"AT1G07650","AT1G07650.2",515
"1",2365996,2366076,81,"*","Promoter (<=1kb)",1,2359673,2366447,6775,2,"AT1G07650","AT1G07650.2",371
"1",2530394,2530510,117,"*","Promoter (1-2kb)",1,2527170,2529120,1951,2,"AT1G08100","AT1G08100.1",-1274
"1",2537927,2538253,327,"*","Promoter (<=1kb)",1,2538076,2538237,162,2,"AT1G08115","AT1G08115.1",0
"1",2580940,2581066,127,"*","Promoter (<=1kb)",1,2577020,2580669,3650,2,"AT1G08210","AT1G08210.1",-271
"1",2626085,2626165,81,"*","Promoter (<=1kb)",1,2621904,2625863,3960,2,"AT1G08320","AT1G08320.2",-222
"1",2626233,2626282,50,"*","Promoter (<=1kb)",1,2621904,2625863,3960,2,"AT1G08320","AT1G08320.2",-370
"1",2927758,2929274,1517,"*","Promoter (<=1kb)",1,2927703,2928968,1266,1,"AT1G09070","AT1G09070.1",55
"1",2990754,2990988,235,"*","Promoter (1-2kb)",1,2989378,2990357,980,1,"AT1G09250","AT1G09250.1",1376
"1",3059096,3059175,80,"*","Promoter (1-2kb)",1,3057975,3060661,2687,1,"AT1G09480","AT1G09480.1",1121
"1",3101231,3101407,177,"*","Promoter (<=1kb)",1,3095256,3100357,5102,2,"AT1G09570","AT1G09570.2",-874
"1",3180480,3180603,124,"*","Promoter (<=1kb)",1,3176883,3180421,3539,2,"AT1G09800","AT1G09800.1",-59
"1",3201129,3201257,129,"*","Promoter (<=1kb)",1,3201799,3204150,2352,1,"AT1G09850","AT1G09850.1",-542
"1",3242012,3242122,111,"*","Promoter (<=1kb)",1,3240606,3241632,1027,2,"AT1G09950","AT1G09950.1",-380
"1",3272759,3272827,69,"*","Promoter (<=1kb)",1,3269604,3271987,2384,2,"AT1G10020","AT1G10020.1",-772
"1",3287485,3287628,144,"*","Promoter (<=1kb)",1,3288087,3290471,2385,1,"AT1G10070","AT1G10070.1",-459
"1",3571833,3572044,212,"*","Promoter (<=1kb)",1,3572710,3573066,357,1,"AT1G10745","AT1G10745.1",-666
"1",3717968,3718030,63,"*","Promoter (<=1kb)",1,3718783,3719711,929,1,"AT1G11125","AT1G11125.1",-753
"1",3945025,3945183,159,"*","Promoter (<=1kb)",1,3945737,3946613,877,1,"AT1G11700","AT1G11700.1",-554
"1",4132306,4132636,331,"*","Promoter (1-2kb)",1,4132967,4134094,1128,2,"AT1G12190","AT1G12190.1",1458
"1",4231485,4231580,96,"*","Promoter (<=1kb)",1,4231027,4231146,120,2,"AT1G12423","AT1G12423.1",-339
"1",4238966,4238975,10,"*","Promoter (<=1kb)",1,4233873,4238764,4892,2,"AT1G12430","AT1G12430.2",-202
"1",4527251,4527320,70,"*","Promoter (1-2kb)",1,4525486,4526064,579,2,"AT1G13245","AT1G13245.1",-1187
"1",4541826,4542165,340,"*","Promoter (<=1kb)",1,4542168,4543742,1575,1,"AT1G13260","AT1G13260.1",-3
"1",4542447,4543035,589,"*","Promoter (<=1kb)",1,4542168,4543742,1575,1,"AT1G13260","AT1G13260.1",279
"1",4543105,4543283,179,"*","Promoter (<=1kb)",1,4542168,4543742,1575,1,"AT1G13260","AT1G13260.1",937
"1",4543373,4543434,62,"*","Promoter (1-2kb)",1,4542168,4543742,1575,1,"AT1G13260","AT1G13260.1",1205
"1",4548739,4548836,98,"*","Promoter (1-2kb)",1,4547454,4548875,1422,1,"AT1G13280","AT1G13280.1",1285
"1",4600452,4600922,471,"*","Promoter (<=1kb)",1,4601261,4603298,2038,1,"AT1G13410","AT1G13410.1",-339
"1",4638245,4638246,2,"*","Promoter (<=1kb)",1,4636984,4638330,1347,2,"AT1G13550","AT1G13550.1",84
"1",4654772,4654928,157,"*","Distal Intergenic",1,4650787,4651469,683,2,"AT1G13600","AT1G13600.1",-3303
"1",4705932,4705932,1,"*","Promoter (1-2kb)",1,4702725,4704657,1933,2,"AT1G13710","AT1G13710.1",-1275
"1",4706291,4706369,79,"*","Promoter (1-2kb)",1,4702725,4704657,1933,2,"AT1G13710","AT1G13710.1",-1634
"1",4706434,4706492,59,"*","Promoter (1-2kb)",1,4702725,4704657,1933,2,"AT1G13710","AT1G13710.1",-1777
"1",4721526,4721644,119,"*","Promoter (<=1kb)",1,4721695,4724510,2816,1,"AT1G13770","AT1G13770.1",-51
"1",4903969,4904266,298,"*","Distal Intergenic",1,4907953,4911080,3128,1,"AT1G14350","AT1G14350.2",-3687
"1",4904631,4904872,242,"*","Distal Intergenic",1,4907953,4911080,3128,1,"AT1G14350","AT1G14350.2",-3081
"1",5070668,5070760,93,"*","Distal Intergenic",1,5066636,5068645,2010,2,"AT1G14720","AT1G14720.1",-2023
"1",5086021,5086280,260,"*","Promoter (<=1kb)",1,5084688,5085213,526,2,"AT1G14760","AT1G14760.1",-808
"1",5195698,5195889,192,"*","Promoter (1-2kb)",1,5193426,5194203,778,2,"AT1G15100","AT1G15100.1",-1495
"1",5197723,5197961,239,"*","Promoter (1-2kb)",1,5199018,5202175,3158,1,"AT1G15110","AT1G15110.1",-1057
"1",5202561,5202572,12,"*","Promoter (<=1kb)",1,5202648,5204193,1546,1,"AT1G15120","AT1G15120.2",-76
"1",5202672,5202721,50,"*","Promoter (<=1kb)",1,5202648,5204193,1546,1,"AT1G15120","AT1G15120.2",24
"1",5401048,5401103,56,"*","Exon (AT1G15690.1/AT1G15690, exon 5 of 8)",1,5398990,5402733,3744,1,"AT1G15690","AT1G15690.2",2058
"1",5443845,5443877,33,"*","Promoter (<=1kb)",1,5441082,5443684,2603,2,"AT1G15800","AT1G15800.1",-161
"1",5513901,5514217,317,"*","Promoter (<=1kb)",1,5511874,5513896,2023,2,"AT1G16070","AT1G16070.2",-5
"1",5532078,5532129,52,"*","Promoter (<=1kb)",1,5532415,5534877,2463,1,"AT1G16150","AT1G16150.1",-286
"1",5758462,5758570,109,"*","Promoter (<=1kb)",1,5756835,5758464,1630,2,"AT1G16820","AT1G16820.1",0
"1",5956109,5956240,132,"*","Promoter (<=1kb)",1,5955488,5957212,1725,2,"AT1G17380","AT1G17380.1",972
"1",5956372,5956452,81,"*","Promoter (<=1kb)",1,5955488,5957212,1725,2,"AT1G17380","AT1G17380.1",760
"1",5956566,5956571,6,"*","Promoter (<=1kb)",1,5955488,5957212,1725,2,"AT1G17380","AT1G17380.1",641
"1",5963909,5963983,75,"*","Promoter (1-2kb)",1,5960481,5962481,2001,2,"AT1G17400","AT1G17400.1",-1428
"1",6174545,6174738,194,"*","Promoter (1-2kb)",1,6169341,6173222,3882,2,"AT1G17940","AT1G17940.1",-1323
"1",6174794,6174859,66,"*","Promoter (1-2kb)",1,6169341,6173222,3882,2,"AT1G17940","AT1G17940.1",-1572
"1",6194373,6194477,105,"*","Promoter (<=1kb)",1,6192071,6194093,2023,2,"AT1G17990","AT1G17990.1",-280
"1",6201521,6201772,252,"*","Promoter (<=1kb)",1,6202249,6203918,1670,1,"AT1G18020","AT1G18020.1",-477
"1",6219485,6219535,51,"*","Promoter (1-2kb)",1,6220648,6220833,186,1,"AT1G18075","AT1G18075.1",-1113
"1",6299876,6299881,6,"*","Promoter (<=1kb)",1,6299687,6301086,1400,1,"AT1G18300","AT1G18300.1",189
"1",6300595,6300780,186,"*","Promoter (<=1kb)",1,6299687,6301086,1400,1,"AT1G18300","AT1G18300.1",908
"1",6335853,6336050,198,"*","Distal Intergenic",1,6331398,6333743,2346,1,"AT1G18400","AT1G18400.1",4455
"1",6400268,6400293,26,"*","Promoter (<=1kb)",1,6400404,6402791,2388,1,"AT1G18600","AT1G18600.1",-111
"1",6400350,6400496,147,"*","Promoter (<=1kb)",1,6400404,6402791,2388,1,"AT1G18600","AT1G18600.1",0
"1",6464063,6465885,1823,"*","Promoter (<=1kb)",1,6463922,6465476,1555,1,"AT1G18740","AT1G18740.1",141
"1",6579286,6579504,219,"*","Promoter (<=1kb)",1,6577833,6579178,1346,2,"AT1G19050","AT1G19050.1",-108
"1",6622324,6622502,179,"*","Promoter (<=1kb)",1,6622114,6623620,1507,1,"AT1G19180","AT1G19180.2",210
"1",6622677,6623011,335,"*","Promoter (<=1kb)",1,6622114,6623620,1507,1,"AT1G19180","AT1G19180.2",563
"1",6623077,6623436,360,"*","Promoter (<=1kb)",1,6623876,6624977,1102,1,"AT1G19190","AT1G19190.1",-440
"1",6682899,6683245,347,"*","Promoter (<=1kb)",1,6680563,6683529,2967,2,"AT1G19330","AT1G19330.1",284
"1",6832546,6833816,1271,"*","Promoter (<=1kb)",1,6832347,6833837,1491,1,"AT1G19770","AT1G19770.1",199
"1",6833983,6834065,83,"*","Promoter (1-2kb)",1,6832347,6833837,1491,1,"AT1G19770","AT1G19770.1",1636
